data_source,nhanes_source,filter,variables,var_description,var_type,lower_range_female,upper_range_female,lower_range_male,upper_range_male,category,category_before_data_formation,keep,na_value,activ_filter
NHANES,demographics,age,RIDAGEYR,age,continuous,18,85,18,85,,,TRUE,FALSE,TRUE
NHANES,examination_body_measures,bmi,BMXBMI,body_mass_index,continuous,17,30,17,30,,,TRUE,TRUE,TRUE
NHANES,examination_body_measures,waist_to_height_ratio,BMXWTHR,waist_to_height_ratio,continuous,0.4,0.55,0.4,0.55,,,TRUE,TRUE,TRUE
NHANES,questionnaire_health_status,cold,HSQ500,cold_last_30_days,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_health_status,stomach,HSQ510,stomach_illness_last_30_days,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_health_status,flu,HSQ520,flu_last_30_days,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,laboratory_hepatitis_b_core_antibody_&_surface_antigen,hepatitis_b,LBDHBG,hepatitis_b_surface_antigen,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,laboratory_hepatitis_c_confirmed_antibody,hepatitis_c,LBDHCI,hepatitis_c_antibody_confirmed,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,laboratory_hepatitis_b_core_antibody_&_surface_antigen,hepatitis_c,LBDHCV,hepatitis_c_antibody_confirmed,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,laboratory_hepatitis_b_core_antibody_&_surface_antigen,hepatitis_c,LBXHCR,hepatitis_c_rna_hcvrna,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,laboratory_hepatitis_b_core_antibody_&_surface_antigen,hepatitis_d,LBDHD,hepatitis_d_antihdv,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,laboratory_hepatitis_e,hepatitis_e,LBDHEM,hepatitis_e_igm_antihev,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,laboratory_hiv_antibody_test,hiv,LBDHI,hiv_antibody_test_result,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,laboratory_hiv_antibody_test,hiv,LBXHIV1,hiv1,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,laboratory_hiv_antibody_test,hiv,LBXHIV2,hiv2,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,laboratory_hiv_antibody_test,hiv,LBXHIVC,hiv1_2_combo_test,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,laboratory_hiv_antibody_test,hiv,LBXHNAT,hiv_confirmatory_test,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,laboratory_cytomegalovirus,cytomegalovirus,LBXIGM,cytomegalovirus_igm,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,laboratory_cytomegalovirus,cytomegalovirus,SSCMIGM,cytomegalovirus_igm,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,examination_blood_pressure,irregular_pulse,BPXPULS,pulse_regular_or_irregular,categorical,,,,,1,2,FALSE,TRUE,TRUE
NHANES,questionnaire_medical_conditions,anemia,MCQ053,treatment_anemia_past_3_months,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_medical_conditions,heart_failure,MCQ160B,congestive_heart_failure,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_medical_conditions,heart_disease,MCQ160C,coronary_heart_disease,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_medical_conditions,angina,MCQ160D,angina,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_medical_conditions,heart_attack,MCQ160E,heart_attack,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_medical_conditions,stroke,MCQ160F,stroke,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_medical_conditions,emphysema,MCQ160G,emphysema,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_medical_conditions,thyroid_disease,MCQ160M,ever_told_thyroid_problem,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_medical_conditions,thyroid_disease,MCQ170M,still_thyroid_problem,categorical,,,,,1,1,FALSE,TRUE,FALSE
NHANES,questionnaire_medical_conditions,thyroid_disease,MCD160M,ever_told_thyroid_problem,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_medical_conditions,thyroid_disease,MCD170M,still_thyroid_problem,categorical,,,,,1,1,FALSE,TRUE,FALSE
NHANES,questionnaire_medical_conditions,thyroid_disease,MCQ160I,ever_told_thyroid_disease,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_medical_conditions,thyroid_disease,MCQ170I,still_have_thyroid_disease,categorical,,,,,1,1,FALSE,TRUE,FALSE
NHANES,questionnaire_medical_conditions,bronchitis,MCQ160K,ever_told_chronic_bronchitis,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_medical_conditions,bronchitis,MCQ170K,still_chronic_bronchitis,categorical,,,,,1,1,FALSE,TRUE,FALSE
NHANES,questionnaire_medical_conditions,liver_disease,MCQ160L,ever_told_liver_condition,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_medical_conditions,liver_disease,MCQ170L,still_liver_condition,categorical,,,,,1,1,FALSE,TRUE,FALSE
NHANES,questionnaire_medical_conditions,cancer,MCQ220,cancer,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_diabetes,diabetes,DIQ010,diabetes,categorical,,,,,1,"1,3",FALSE,TRUE,TRUE
NHANES,questionnaire_kidney_conditions,kidney,KIQ022,failing_kidneys,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_kidney_conditions,kidney,KIQ020,failing_kidneys,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_kidney_conditions,kidney,KIQ025,dialysis,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_prescription_medications,prescription_medicine,SIMVASTATIN,simvastatin,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_prescription_medications,prescription_medicine,ESTRADIOL,estradiol,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_prescription_medications,prescription_medicine,HYDROCHLOROTHIAZIDE,hydrochlorothiazide,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_prescription_medications,prescription_medicine,TAMSULOSIN,tamsulosin,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_prescription_medications,prescription_medicine,ROSUVASTATIN,rosuvastatin,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_prescription_medications,prescription_medicine,POTASSIUM_CHLORIDE,potassium_chloride,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_prescription_medications,prescription_medicine,METFORMIN,metformin,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_prescription_medications,prescription_medicine,WARFARIN,warfarin,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_prescription_medications,prescription_medicine,METOPROLOL,metoprolol,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_prescription_medications,prescription_medicine,PRAVASTATIN,pravastatin,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_prescription_medications,prescription_medicine,METHYLPHENIDATE,methylphenidate,categorical,,,,,1,1,FALSE,TRUE,FALSE
NHANES,questionnaire_prescription_medications,prescription_medicine,PREDNISONE,prednisone,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_prescription_medications,prescription_medicine,AMOXICILLIN,amoxicillin,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_prescription_medications,prescription_medicine,LEVOTHYROXINE,levothyroxine,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_prescription_medications,prescription_medicine,SERTRALINE,sertraline,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_prescription_medications,prescription_medicine,ZOLPIDEM,zolpidem,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_prescription_medications,prescription_medicine,LOSARTAN,losartan,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_prescription_medications,prescription_medicine,VERAPAMIL,verapamil,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_prescription_medications,prescription_medicine,LISINOPRIL,lisinopril,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_prescription_medications,prescription_medicine,CHLOROTHIAZIDE,chlorothiazide,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_prescription_medications,prescription_medicine,VALSARTAN,valsartan,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_prescription_medications,prescription_medicine,TRAZODONE,trazodone,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_prescription_medications,prescription_medicine,VENLAFAXINE,venlafaxine,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,laboratory_thyroid_profile,thyroid_cilia,LBXT4F,t4_thyroxine_free_ng/dl,continuous,0.93,1.71,0.93,1.71,,,TRUE,TRUE,FALSE
NHANES,laboratory_thyroid_profile,thyroid_cilia,LBXT3F,t3_triiodothyronine_free_pg/ml,continuous,1.63,3.91,1.63,3.91,,,TRUE,TRUE,TRUE
NHANES,laboratory_thyroid_profile,thyroid_cilia,LBXTSH,tsh_thyroid_stimulating_hormone_uiu/ml,continuous,0.4,4,0.4,4,,,TRUE,TRUE,TRUE
NHANES,laboratory_thyroid_profile,thyroid_cilia,LBXTSH1,tsh_thyroid_stimulating_hormone_uiu/ml,continuous,0.4,4,0.4,4,,,TRUE,TRUE,TRUE
NHANES,laboratory_standard_biochemistry_&_hormones,liver_cilia,LBXSATSI,alt_alanine_aminotransferase_u/l,continuous,0,30,0,40,,,TRUE,TRUE,TRUE
NHANES,laboratory_standard_biochemistry_&_hormones,liver_cilia,LBXSAPSI,alp_alkaline_phosphatase_u/l,continuous,30,150,30,150,,,TRUE,TRUE,TRUE
NHANES,laboratory_standard_biochemistry_&_hormones,liver_cilia,LBXSASSI,ast_aspartate_aminotransferase_u/l,continuous,10,50,10,50,,,TRUE,TRUE,TRUE
NHANES,laboratory_standard_biochemistry_&_hormones,liver_cilia,LBDSTBSI,bilirubin_total_umol/l,continuous,2,20,2,20,,,TRUE,TRUE,TRUE
NHANES,laboratory_standard_biochemistry_&_hormones,liver_cilia,LBXSLDSI,ldh_lactate_dehydrogenase_u/l,continuous,120,250,120,250,,,TRUE,TRUE,TRUE
NHANES,laboratory_standard_biochemistry_&_hormones,liver_cilia,LBDSLDSI,ldh_lactate_dehydrogenase_u/l,continuous,120,250,120,250,,,TRUE,TRUE,TRUE
NHANES,laboratory_standard_biochemistry_&_hormones,liver_cilia,LBXSGTSI,ggt_gamma_glutamyl_transferase_u/l,continuous,10,35,10,50,,,TRUE,TRUE,TRUE
NHANES,laboratory_standard_biochemistry_&_hormones,liver_cilia,LBDSALSI,albumin_g/l,continuous,32,48,32,48,,,TRUE,TRUE,TRUE
NHANES,laboratory_standard_biochemistry_&_hormones,liver_cilia,LBXSTP,total_protein_g/dl,continuous,6.4,8.3,6.4,8.3,,,TRUE,TRUE,TRUE
NHANES,questionnaire_reproductive_health,pregnancy,RHD143,pregnant,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_reproductive_health,pregnancy,RHQ140,pregnant,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,questionnaire_reproductive_health,pregnancy,RHQ141,pregnant,categorical,,,,,1,1,FALSE,TRUE,TRUE
NHANES,mortality,mortality,months_after_nhanes_examination,mortality,continuous,0,61,0,61,,,FALSE,TRUE,TRUE